tanggal,Kecepatan angin rata-rata
Januari 2017,1.97
Februari 2017,1.82
Maret 2017,1.32
April 2017,1.33
Mei 2017,01.09
Juni 2017,1.33
Juli 2017,01.09
Agustus 2017,1.61
Sepetember 2017,1.3
Oktober 2017,1.32
November 2017,1.5
Desember 2017,1.64
Januari 2018,1.96
Februari 2018,1.6
Maret 2018,1.48
April 2018,1.16
Mei 2018,1.19
Juni 2018,1.13
Juli 2018,01.09
Agustus 2018,1.16
September 2018,1.33
Oktober 2018,1.19
November 2018,1.13
Desember 2018,1.70
Januari 2019,1.58
Februari 2019,1.39
Maret 2019,1.64
April 2019,1.50
Mei 2019,1.48
Juni 2019,1.23
Juli 2019,1.25
Agustus 2019,1.41
September 2019,1.33
Oktober 2019,1.35
November 2019,1.33
Desember 2019,1.45
Januari 2020,1.45
Februari 2020,1.44
Maret 2020,1.51
April 2020,1.36
Mei 2020,1.25
Juni 2020,1.33
Juli 2020,1.41
Agustus 2020,1.38
September 2020,1.70
Oktober 2020,1.58
November 2020,1.46
Desember 2020,02.03
Januari 2021,1.64
Februari 2021,1.96
Maret 2021,1.67
April 2021,1.40
Mei 2021,1.32
Juni 2021,1.20
Juli 2021,1.19
Agustus 2021,1.64
September 2021,1.43
Oktober 2021,1.29
November 2021,1.6
Desember 2021,1.38
Januari 2022,1.54
Februai 2022,1.47
Maret 2022,1.70
April 2022,1
Mei 2022,01.09
Juni 2002,0.76
Juli 2022,01.09
Agustus 2022,1.12
September 2022,1.2
Oktober 2022,01.09
November 2022,1.23
Desember 2022,1.22
Januari 2023,1.32
Februari 2023,1.32
Maret 2023,0.96
April 2023,1.16
Mei 2023,0.8
Juni 2023,0.96
Juli 2023,1
Agustus 2023,1.29
September 2023,0.8
Oktober 2023,01.09
